No,District,NRSC,GSI,New,Type_of_sl,Length,Width,Area,Building_I,Road_impac,Impact_Agr,LU_2010,LU_2018,Specific_r,Remarks,longitude,latitude,Reclass_Sl,RASTERVALU
109,Kannur,Y,Y,N,DF,0,0,56592.60000000000,0,N,FMP,FMP,FMP,,,75.89119300000,11.87277100000,4,24.05297851560
110,Kannur,Y,Y,N,DF,0,0,8725.15000000000,0,N,FMP,FMP,FMP,,,75.75899600000,12.06818400000,5,28.19027137760
111,Kannur,Y,Y,N,DF,0,0,7649.85000000000,0,N,FMP,FMP,FMP,,,75.76863400000,12.06941300000,5,29.09514045720
112,Kannur,Y,N,N,SS,0,0,1219.05000000000,0,N,N,BRF,BRF,,,75.56185700000,12.16999300000,6,31.43355178830
113,Kannur,Y,N,N,DF,0,0,3929.43000000000,0,N,N,BRS,BRS,,,75.62594900000,12.12587900000,5,29.50318527220
114,Kannur,N,Y,N,DF,217,9,1953.00000000000,0,N,N,BRS,BRS,,One family was evacuated temporarily.,75.57819400000,12.15807700000,1,0.00000000000
115,Kannur,Y,N,N,DF,0,0,6991.27000000000,0,N,N,FDN,FDN,,,75.78479400000,11.83602100000,4,24.33710861210
116,Kannur,Y,N,N,DF,0,0,1330.32000000000,0,N,N,FDN,FDN,,,75.79764600000,12.01746000000,8,43.52914810180
117,Kannur,Y,N,N,DF,0,0,6326.54000000000,0,D,N,FDN,FDN,,,75.79075800000,12.00841100000,6,30.75543022160
118,Kannur,Y,N,N,SS,0,0,542.09200000000,0,N,N,FDN,FDN,,,75.83307100000,11.95740000000,2,12.97504711150
119,Kannur,Y,N,N,DF,0,0,1101.82000000000,0,N,N,FDN,FDN,,,75.84814900000,11.96415500000,7,39.12775802610
120,Kannur,Y,N,N,SS,0,0,944.85300000000,0,N,N,FDN,FDN,,,75.75656700000,11.81041700000,6,30.25449752810
121,Kannur,Y,N,N,SS,0,0,1038.61000000000,0,N,N,FDN,FDN,,,75.63252400000,12.08690600000,5,28.80123901370
122,Kannur,Y,N,N,DF,0,0,2524.57000000000,0,N,N,FDN,FDN,,,75.50036800000,12.18645600000,5,27.46396446230
123,Kannur,Y,N,N,DF,0,0,5692.26000000000,0,N,FMP,FMP,FMP,,,75.73550200000,11.78589300000,6,31.59825134280
124,Kannur,Y,N,N,DF,0,0,2214.67000000000,0,N,FMP,FMP,FMP,,,75.85112500000,11.85568400000,6,34.54147720340
125,Kannur,Y,N,N,SS,0,0,644.04200000000,0,N,FMP,FMP,FMP,,,75.84023500000,11.91330400000,6,32.70514297490
126,Kannur,Y,N,N,SS,0,0,667.66900000000,0,N,FMP,FMP,FMP,,,75.83561600000,11.91423400000,6,32.84606552120
127,Kannur,Y,N,N,DF,0,0,3555.10000000000,0,N,FMP,FMP,FMP,,,75.77275200000,12.01645900000,3,17.90279197690
128,Kannur,Y,N,N,DF,0,0,4010.53000000000,0,N,FMP,FMP,FMP,,,75.79643800000,12.00696800000,6,31.66185951230
129,Kannur,Y,N,N,SS,0,0,2957.93000000000,0,N,FMP,FMP,FMP,,,75.52589100000,12.18273400000,3,18.00789260860
130,Kannur,N,Y,N,DF,0,0,1190.56000000000,0,N,FMP,FMP,FMP,,Displaced rock boulder are randomly scattered along the stream course.,75.69080000000,12.08867000000,3,18.34746742250
131,Kannur,N,Y,N,RF,0,0,3845.47000000000,1,N,FMP,FMP,FMP,,,75.69022000000,12.09856000000,4,22.88625335690
132,Kannur,N,Y,N,DF,0,0,8725.15000000000,0,N,FMP,FMP,FMP,,,75.75856000000,12.07206000000,4,24.38486099240
133,Kannur,Y,Y,N,DF,0,0,8725.15000000000,0,N,FMP,FMP,FMP,,,75.75761000000,12.07092000000,4,20.27221107480
134,Kannur,N,Y,N,SS,0,0,3555.10000000000,1,N,FMP,FMP,FMP,,,75.71351000000,12.02903000000,2,11.59612178800
135,Kannur,Y,Y,N,DF,0,0,2945.09000000000,0,N,FMP,FMP,FMP,,,75.77653000000,12.02021000000,4,20.66926383970
136,Kannur,N,Y,N,SS,0,0,3555.10000000000,1,N,FMP,FMP,FMP,1,Unplanned slope modification.,75.75671000000,12.00518000000,3,19.17274093630
137,Kannur,Y,Y,N,DF,0,0,4806.57000000000,1,D,FMP,FMP,FMP,,Road has been partly damaged by the flood water.,75.77842800000,12.01442300000,6,30.46669197080
138,Kannur,N,Y,N,DF,0,0,4812.82000000000,1,N,FMP,FMP,FMP,,,75.86396000000,11.86084000000,2,13.32751655580
139,Kannur,Y,Y,N,SS,0,0,4306.60000000000,5,D,FMP,FMP,FMP,,Electric poles and local pavements/approach road were also damaged.,75.87109000000,11.86205000000,4,24.49222755430
140,Kannur,N,Y,N,SS,0,0,2858.38000000000,23,N,FMP,FMP,FMP,,Earlier the cracks appeared in 2004 and 2 houses were affected.,75.85948000000,11.91209000000,1,9.89869403839
141,Kannur,Y,Y,N,DF,0,0,3845.47000000000,2,N,FMP,FMP,FMP,,,75.64093700000,12.12623300000,5,25.88312911990
142,Kannur,Y,Y,N,DF,0,0,3704.23000000000,0,N,FMP,FMP,FMP,,Two families were temporarily evacuated.,75.57156400000,12.16393800000,7,36.77200317380
143,Kannur,N,Y,N,DF,0,0,1500.20000000000,0,N,FMP,FMP,FMP,,,75.57490000000,12.13916000000,3,16.24985504150
144,Kannur,N,Y,N,DF,88,22,1936.00000000000,1,N,FMP,FMP,FMP,,The natural drainage was obstructed for the construction of house. During rainfall the original course of stream got activated and huge volume of water with debris material followed the original drainage path.,75.64750000000,11.97909000000,4,21.42925643920
145,Kannur,N,Y,N,DF,115,9,1035.00000000000,0,N,FMP,FMP,FMP,,,75.62801900000,12.12924500000,6,33.61987686160
146,Kannur,N,Y,N,DF,189,6,1134.00000000000,0,N,FMP,FMP,FMP,,Culvert of proper dimensions may be provided.,75.78092800000,12.04704600000,6,34.00775909420
147,Kannur,Y,N,N,DF,0,0,2507.92000000000,0,N,SPL,FMP,SPL,,,75.85773300000,11.85230300000,4,22.22646903990
148,Kannur,Y,N,N,SS,0,0,2858.38000000000,0,N,SPL,FMP,SPL,,,75.84219600000,11.91273000000,6,33.83285903930
149,Kannur,Y,N,N,DF,0,0,4735.94000000000,0,N,SPL,SPL,SPL,,,75.80180700000,12.00563400000,6,34.11649322510
150,Kannur,N,N,Y,DF,0,0,1500.20000000000,0,N,SPL,SPL,SPL,,,75.58011800000,12.15645500000,6,32.99729156490
151,Kannur,Y,N,N,SS,0,0,3425.89000000000,0,N,SPL,SPL,SPL,,,75.64143800000,12.12868300000,4,23.80405044560
152,Kannur,Y,N,N,SS,0,0,1190.56000000000,0,N,SPL,SPL,SPL,,,75.63293600000,12.08541900000,3,15.95049285890
153,Kannur,Y,N,N,SS,0,0,663.92000000000,0,N,SPL,SPL,SPL,,,75.61074300000,12.13603800000,6,31.33208847050
154,Kannur,Y,N,N,SS,0,0,1004.41000000000,0,N,SPL,SPL,SPL,,,75.51626300000,12.22944000000,1,8.31430816650
155,Kannur,Y,N,N,SS,0,0,878.13700000000,0,N,SPL,SPL,SPL,,,75.59586700000,12.13420300000,4,21.92610931400
156,Kannur,N,Y,N,DF,0,0,1190.56000000000,0,N,SPL,SPL,SPL,,"At this location, the materials flown along two different streams coalesced at loc 12e 05'27.52"" N, 75 o41'39.44"" E. The co-ordinate of two stream are 1).12 d05'30.15""N, 75 f41'38.00""E  ;(2). 12 d05in29.09""N, 75 241'39.56"" E",75.69389000000,12.09171000000,4,23.11356353760
157,Kannur,Y,Y,N,DF,0,0,2437.25000000000,1,N,SPL,FMP,SPL,,,75.85677700000,11.85238500000,5,26.25870132450
158,Kannur,N,Y,N,DF,0,0,663.92000000000,0,N,SPL,SPL,SPL,,"At this place, material flown down from different directions following three streams got accumulated as it is a break in slope. Larger boulders that rolled down to river was carried further downstream. There are 20 nos. of family and 20 houses were affec",75.60595000000,12.14786000000,3,15.02223587040
159,Kannur,Y,N,N,RF,0,0,1603.98000000000,0,N,N,BRF,BRF,,,75.78651300000,12.05330800000,6,34.82343673710
160,Kannur,Y,N,N,DF,0,0,857.55700000000,0,N,N,FDN,FDN,,,75.93552700000,11.90876200000,2,14.02755451200
161,Kannur,Y,N,N,DF,0,0,500.09600000000,0,N,N,FDN,FDN,,,75.91382600000,11.91799600000,7,37.94721603390
162,Kannur,Y,N,N,DF,0,0,3207.31000000000,0,N,N,FDN,FDN,,,75.91490800000,11.91810000000,7,37.69355010990
163,Kannur,Y,N,N,DF,0,0,3507.89000000000,0,N,N,FDN,FDN,,,75.91857900000,11.91721500000,6,33.47938156130
164,Kannur,Y,N,N,DF,0,0,1694.81000000000,0,N,N,FDN,FDN,,,75.92074500000,11.91246500000,6,32.45855331420
